,vmax,mslp,type,lat,lon,time,season,stormid,ace,contained
0,80.0,,HU,28.0,-94.8,1851-06-25 00:00:00,1851,AL011851,0.64,True
1,80.0,,HU,28.0,-95.4,1851-06-25 06:00:00,1851,AL011851,0.64,True
2,80.0,,HU,28.0,-96.0,1851-06-25 12:00:00,1851,AL011851,0.64,True
3,80.0,,HU,28.1,-96.5,1851-06-25 18:00:00,1851,AL011851,0.64,True
4,80.0,,HU,28.2,-96.8,1851-06-25 21:00:00,1851,AL011851,0.64,True
5,70.0,,HU,28.2,-97.0,1851-06-26 00:00:00,1851,AL011851,0.49000000000000005,False
6,60.0,,TS,28.3,-97.6,1851-06-26 06:00:00,1851,AL011851,0.36000000000000004,False
7,60.0,,TS,28.4,-98.3,1851-06-26 12:00:00,1851,AL011851,0.36000000000000004,False
8,50.0,,TS,28.6,-98.9,1851-06-26 18:00:00,1851,AL011851,0.25,False
9,50.0,,TS,29.0,-99.4,1851-06-27 00:00:00,1851,AL011851,0.25,False
10,40.0,,TS,29.5,-99.8,1851-06-27 06:00:00,1851,AL011851,0.16,False
11,40.0,,TS,30.0,-100.0,1851-06-27 12:00:00,1851,AL011851,0.16,False
12,40.0,,TS,30.5,-100.1,1851-06-27 18:00:00,1851,AL011851,0.16,False
13,40.0,,TS,31.0,-100.2,1851-06-28 00:00:00,1851,AL011851,0.16,False
14,80.0,,HU,22.2,-97.6,1851-07-05 12:00:00,1851,AL021851,0.64,True
15,50.0,,TS,12.0,-60.0,1851-07-10 12:00:00,1851,AL031851,0.25,False
16,40.0,,TS,13.4,-48.0,1851-08-16 00:00:00,1851,AL041851,0.16,False
17,40.0,,TS,13.7,-49.5,1851-08-16 06:00:00,1851,AL041851,0.16,False
18,50.0,,TS,14.0,-51.0,1851-08-16 12:00:00,1851,AL041851,0.25,False
19,50.0,,TS,14.4,-52.8,1851-08-16 18:00:00,1851,AL041851,0.25,False
20,60.0,,TS,14.9,-54.6,1851-08-17 00:00:00,1851,AL041851,0.36000000000000004,False
21,60.0,,TS,15.4,-56.5,1851-08-17 06:00:00,1851,AL041851,0.36000000000000004,False
22,70.0,,HU,15.9,-58.5,1851-08-17 12:00:00,1851,AL041851,0.49000000000000005,False
23,70.0,,HU,16.1,-60.4,1851-08-17 18:00:00,1851,AL041851,0.49000000000000005,False
24,80.0,,HU,16.6,-62.5,1851-08-18 00:00:00,1851,AL041851,0.64,False
25,80.0,,HU,16.9,-64.1,1851-08-18 06:00:00,1851,AL041851,0.64,False
26,90.0,,HU,17.2,-66.0,1851-08-18 12:00:00,1851,AL041851,0.81,False
27,90.0,,HU,17.6,-67.6,1851-08-18 18:00:00,1851,AL041851,0.81,False
28,90.0,,HU,18.0,-69.3,1851-08-19 00:00:00,1851,AL041851,0.81,False
29,70.0,,HU,18.4,-71.1,1851-08-19 06:00:00,1851,AL041851,0.49000000000000005,False
30,60.0,,TS,18.9,-72.6,1851-08-19 12:00:00,1851,AL041851,0.36000000000000004,False
31,60.0,,TS,19.4,-74.3,1851-08-19 18:00:00,1851,AL041851,0.36000000000000004,False
32,70.0,,HU,19.9,-75.9,1851-08-20 00:00:00,1851,AL041851,0.49000000000000005,False
33,70.0,,HU,20.5,-77.6,1851-08-20 06:00:00,1851,AL041851,0.49000000000000005,False
34,70.0,,HU,21.2,-79.0,1851-08-20 12:00:00,1851,AL041851,0.49000000000000005,False
35,70.0,,HU,21.9,-80.4,1851-08-20 18:00:00,1851,AL041851,0.49000000000000005,False
36,60.0,,TS,22.6,-81.4,1851-08-21 00:00:00,1851,AL041851,0.36000000000000004,False
37,60.0,,TS,23.2,-82.5,1851-08-21 06:00:00,1851,AL041851,0.36000000000000004,False
38,70.0,,HU,23.9,-83.6,1851-08-21 12:00:00,1851,AL041851,0.49000000000000005,True
39,70.0,,HU,24.4,-84.3,1851-08-21 18:00:00,1851,AL041851,0.49000000000000005,True
40,80.0,,HU,25.0,-84.9,1851-08-22 00:00:00,1851,AL041851,0.64,True
41,80.0,,HU,25.6,-85.5,1851-08-22 06:00:00,1851,AL041851,0.64,True
42,90.0,,HU,26.2,-86.0,1851-08-22 12:00:00,1851,AL041851,0.81,True
43,90.0,,HU,26.8,-86.3,1851-08-22 18:00:00,1851,AL041851,0.81,True
44,100.0,,HU,27.4,-86.5,1851-08-23 00:00:00,1851,AL041851,1.0,True
45,100.0,,HU,28.0,-86.6,1851-08-23 06:00:00,1851,AL041851,1.0,True
46,100.0,,HU,28.5,-86.6,1851-08-23 12:00:00,1851,AL041851,1.0,True
47,100.0,,HU,29.6,-86.1,1851-08-23 18:00:00,1851,AL041851,1.0,True
48,100.0,,HU,30.1,-85.7,1851-08-23 21:00:00,1851,AL041851,1.0,True
49,90.0,,HU,30.7,-85.1,1851-08-24 00:00:00,1851,AL041851,0.81,False
50,70.0,,HU,31.6,-84.1,1851-08-24 06:00:00,1851,AL041851,0.49000000000000005,False
51,60.0,,TS,32.5,-83.0,1851-08-24 12:00:00,1851,AL041851,0.36000000000000004,False
52,50.0,,TS,33.4,-81.4,1851-08-24 18:00:00,1851,AL041851,0.25,False
